17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801,17.801
17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81,17.81
17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819,17.819
17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828,17.828
17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837,17.837
17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846,17.846
17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855,17.855
17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864,17.864
17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873,17.873
17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882,17.882
